Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.54     10.87     0.07                             __w32_sharedptr_initialize
  0.54     10.94     0.07                             fc_key_init_once
  0.47     11.00     0.06                             __gnu_cxx::_Hashtable_iterator<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::operator++(int)
  0.47     11.06     0.06                             __gnu_cxx::hashtable<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::~hashtable()
  0.47     11.12     0.06                             std::vector<std::pair<unsigned long, unsigned long>, std::allocator<std::pair<unsigned long, unsigned long> > >::begin() const
  0.47     11.18     0.06                             std::__timepunct_cache<char>::__timepunct_cache(unsigned int)
  0.39     11.23     0.05                             Tile::getMoveableBlockingItem()
  0.39     11.28     0.05                             __cxxabiv1::__vmi_class_type_info::__do_find_public_src(int, void const*, __cxxabiv1::__class_type_info const*, void const*) const
  0.39     11.33     0.05                             __gnu_cxx::__normal_iterator<std::pair<unsigned char, Container*>*, std::vector<std::pair<unsigned char, Container*>, std::allocator<std::pair<unsigned char, Container*> > > >::base() const
  0.39     11.38     0.05                             std::__timepunct_cache<char>::__timepunct_cache(unsigned int)
  0.31     11.42     0.04                             FileLoader::getProps(unsigned long, unsigned long&)
  0.31     11.46     0.04                             Map::placeCreature(Position&, Creature*)
  0.31     11.50     0.04                             std::vector<std::pair<unsigned long, unsigned long>, std::allocator<std::pair<unsigned long, unsigned long> > >::size() const
  0.31     11.54     0.04                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::_M_create_node(std::pair<unsigned long const, Tile*> const&)
  0.23     11.57     0.03                             global constructors keyed to _ZN7Summons7summonsE
  0.23     11.60     0.03                             __gxx_exception_cleanup(_Unwind_Reason_Code, _Unwind_Exception*)
  0.23     11.63     0.03                             FileLoader::getNextNode(unsigned long, unsigned long&)
  0.23     11.66     0.03                             __cxxabiv1::__class_type_info::~__class_type_info()
  0.23     11.69     0.03                             CreatureState::~CreatureState()
  0.23     11.72     0.03                             Map::setTile(unsigned short, unsigned short, unsigned char)
  0.23     11.75     0.03                             __gnu_cxx::__normal_iterator<std::pair<unsigned char, Container*>*, std::vector<std::pair<unsigned char, Container*>, std::allocator<std::pair<unsigned char, Container*> > > >::operator*() const
  0.23     11.78     0.03                             std::allocator<std::_List_node<Direction> >::~allocator()
  0.16     11.80     0.02                             PropStream::GET_USHORT(unsigned short&)
  0.16     11.82     0.02                             PropStream::init(char*, unsigned long)
  0.16     11.84     0.02                             PropStream::GET_ULONG(unsigned long&)
  0.16     11.86     0.02                             CreatureState::operator=(CreatureState const&)
  0.16     11.88     0.02                             Item::serialize()
  0.16     11.90     0.02                             Item::Item(unsigned short, unsigned short)
  0.16     11.92     0.02                             LootBlock::LootBlock(LootBlock const&)
  0.16     11.94     0.02                             __gnu_cxx::__mt_alloc<char>::deallocate(char*, unsigned int)
  0.16     11.96     0.02                             __gnu_cxx::new_allocator<std::_List_node<Container const*> >::allocate(unsigned int, void const*)
  0.16     11.98     0.02                             std::moneypunct<char, true>::negative_sign() const
  0.16     12.00     0.02                             std::allocator<std::_List_node<Direction> >::~allocator()
  0.16     12.02     0.02                             std::allocator<std::_List_node<Creature*> >::~allocator()
  0.16     12.04     0.02                             std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> >::~_Vector_base()
  0.16     12.06     0.02                             std::map<unsigned long, Creature*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Creature*> > >::map()
  0.16     12.08     0.02                             std::vector<House*, std::allocator<House*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<House**, std::vector<House*, std::allocator<House*> > >, House* const&)
  0.16     12.10     0.02                             std::vector<Thing*, std::allocator<Thing*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Thing**, std::vector<Thing*, std::allocator<Thing*> > >, Thing* const&)
  0.16     12.12     0.02                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::~_Rb_tree()
  0.16     12.14     0.02                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::equal_range(unsigned long const&)
  0.16     12.16     0.02                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::upper_bound(unsigned long const&)
  0.16     12.18     0.02                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::insert_unique(std::_Rb_tree_iterator<std::pair<unsigned long const, Player*> >, std::pair<unsigned long const, Player*> const&)
  0.16     12.20     0.02                             std::type_info::~type_info()
  0.16     12.22     0.02                             std::_Rb_tree_decrement(std::_Rb_tree_node_base const*)
  0.16     12.24     0.02                             std::_Rb_tree_increment(std::_Rb_tree_node_base*)
  0.16     12.26     0.02                             std::_Rb_tree_black_count(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*)
  0.08     12.27     0.01                             _DTOR_LIST__
  0.08     12.28     0.01                             global destructors keyed to _ZN7Summons7summonsE
  0.08     12.29     0.01                             __static_initialization_and_destruction_0(int, int)
  0.08     12.30     0.01                             FileLoader::endNode()
  0.08     12.31     0.01                             FileLoader::getProps(unsigned long, PropStream&)
  0.08     12.32     0.01                             ActionScript::registerFunctions()
  0.08     12.33     0.01                             InstantSpell::~InstantSpell()
  0.08     12.34     0.01                             SchedulerTask::~SchedulerTask()
  0.08     12.35     0.01                             Map::canThrowObjectTo(Position, Position, int)
  0.08     12.36     0.01                             Map::getTile(unsigned short, unsigned short, unsigned char)
  0.08     12.37     0.01                             Map::setTile(unsigned short, unsigned short, unsigned char, unsigned short)
  0.08     12.38     0.01                             Game::placeCreature(Position&, Creature*, int*)
  0.08     12.39     0.01                             Game::getPlayerByName(std::string const&)
  0.08     12.40     0.01                             Item::setUniqueId(unsigned short)
  0.08     12.41     0.01                             Tile::getTopThing()
  0.08     12.42     0.01                             Tile::addThing(Thing*)
  0.08     12.43     0.01                             Range::Range(Position, int, int, int, int, bool)
  0.08     12.44     0.01                             void boost::function1<void, Game*, std::allocator<boost::function_base> >::assign_to<boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, int>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<int> > > >(boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, int>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<int> > >, boost::detail::function::function_obj_tag)
  0.08     12.45     0.01                             void boost::function1<void, Game*, std::allocator<boost::function_base> >::assign_to<boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, unsigned short>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<unsigned short> > > >(boost::_bi::bind_t<void, boost::_mfi::mf2<void, Game, unsigned long, unsigned short>, boost::_bi::list3<boost::_bi::value<Game*>, boost::_bi::value<unsigned long>, boost::_bi::value<unsigned short> > >, boost::detail::function::function_obj_tag)
  0.08     12.46     0.01                             Houses::LoadHouseItems(Game*)
  0.08     12.47     0.01                             Monster::isCreatureAttackable(Creature const*)
  0.08     12.48     0.01                             Monster::validateDistanceAttack(Position const&)
  0.08     12.49     0.01                             Monster::~Monster()
  0.08     12.50     0.01                             Monsters::loadMonster(std::string const&, std::string const&, bool)
  0.08     12.51     0.01                             Monsters::loadLootContainer(_xmlNode*, LootBlock&)
  0.08     12.52     0.01                             __gnu_cxx::new_allocator<std::pair<std::string, TimeProbabilityClass> >::deallocate(std::pair<std::string, TimeProbabilityClass>*, unsigned int)
  0.08     12.53     0.01                             __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::xsputn(char const*, int)
  0.08     12.54     0.01                             bool __gnu_cxx::operator!=<std::pair<Creature*, CreatureState> const*, std::pair<Creature*, CreatureState>*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > >(__gnu_cxx::__normal_iterator<std::pair<Creature*, CreatureState> const*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > > const&, __gnu_cxx::__normal_iterator<std::pair<Creature*, CreatureState>*, std::vector<std::pair<Creature*, CreatureState>, std::allocator<std::pair<Creature*, CreatureState> > > > const&)
  0.08     12.55     0.01                             __cxxabiv1::__class_type_info::__do_dyncast(int, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
  0.08     12.56     0.01                             __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> > const*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::operator+(int const&) const
  0.08     12.57     0.01                             std::string::find_last_of(char const*, unsigned int, unsigned int) const
  0.08     12.58     0.01                             std::moneypunct<char, false>::do_grouping() const
  0.08     12.59     0.01                             std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::str() const
  0.08     12.60     0.01                             std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::rdbuf() const
  0.08     12.61     0.01                             std::list<ChatChannel*, std::allocator<ChatChannel*> >::begin() const
  0.08     12.62     0.01                             std::locale::operator==(std::locale const&) const
  0.08     12.63     0.01                             std::numpunct<char>::do_grouping() const
  0.08     12.64     0.01                             std::allocator<std::_List_node<LootBlock> >::allocator<LootBlock>(std::allocator<LootBlock> const&)
  0.08     12.65     0.01                             std::allocator<std::_List_node<Creature*> >::allocator(std::allocator<std::_List_node<Creature*> > const&)
  0.08     12.66     0.01                             std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(unsigned int, char, std::allocator<char> const&)
  0.08     12.67     0.01                             std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char const*>(char const*, char const*, std::allocator<char> const&)
  0.08     12.68     0.01                             std::_Vector_base<Item*, std::allocator<Item*> >::~_Vector_base()
  0.08     12.69     0.01                             std::_Vector_base<Creature*, std::allocator<Creature*> >::_M_deallocate(Creature**, unsigned int)
  0.08     12.70     0.01                             std::_Vector_base<Creature*, std::allocator<Creature*> >::_Vector_base(unsigned int, std::allocator<Creature*> const&)
  0.08     12.71     0.01                             std::_Vector_base<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> >::_Vector_base(unsigned int, std::allocator<__gnu_cxx::_Hashtable_node<std::pair<unsigned long const, unsigned long> >*> const&)
  0.08     12.72     0.01                             std::map<unsigned long, Player*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::map()
  0.08     12.73     0.01                             std::pair<std::_Rb_tree_iterator<std::pair<unsigned short const, ChatChannel*> >, bool>::pair(std::_Rb_tree_iterator<std::pair<unsigned short const, ChatChannel*> > const&, bool const&)
  0.08     12.74     0.01                             std::vector<Guilds::Guild::Member, std::allocator<Guilds::Guild::Member> >::operator[](unsigned int)
  0.08     12.75     0.01                             std::vector<House*, std::allocator<House*> >::operator[](unsigned int)
  0.08     12.76     0.01                             std::vector<Creature*, std::allocator<Creature*> >::operator[](unsigned int)
  0.08     12.77     0.01                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Tile*>, std::_Select1st<std::pair<unsigned long const, Tile*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Tile*> > >::find(unsigned long const&)
  0.08     12.78     0.01                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::lower_bound(unsigned long const&)
  0.08     12.79     0.01                             std::_Rb_tree<unsigned long, std::pair<unsigned long const, Creature*>, std::_Select1st<std::pair<unsigned long const, Creature*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Creature*> > >::insert_unique(std::pair<unsigned long const, Creature*> const&)
  0.08     12.80     0.01                             std::type_info::~type_info()
  0.08     12.81     0.01                             void std::_Construct<std::pair<std::string const, Command*>, std::pair<std::string const, Command*> >(std::pair<std::string const, Command*>*, std::pair<std::string const, Command*> const&)
  0.08     12.82     0.01                             void std::_Construct<std::pair<unsigned long long, long>, std::pair<unsigned long long, long> >(std::pair<unsigned long long, long>*, std::pair<unsigned long long, long> const&)
  0.08     12.83     0.01                             int std::__convert_from_v<long double>(char*, int, char const*, long double, int* const&, int)
  0.08     12.84     0.01                             std::_Rb_tree_rotate_right(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*&)
  0.08     12.85     0.01                             std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
  0.08     12.86     0.01                             std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)
  0.08     12.87     0.01                             __cxa_throw
  0.08     12.88     0.01                             fc_key_init
  0.08     12.89     0.01                             luaopen_base

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.08% of 12.89 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     21.1    2.72    0.00                 std::list<unsigned long, std::allocator<unsigned long> >::size() const [1]
-----------------------------------------------
                                                 <spontaneous>
[2]     12.5    1.61    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::insert_unique(std::pair<unsigned long const, Player*> const&) [2]
-----------------------------------------------
                                                 <spontaneous>
[3]      3.2    0.41    0.00                 bool PropStream::GET_STRUCT<OTBM_TeleportDest>(OTBM_TeleportDest*&) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      3.0    0.39    0.00                 __gnu_cxx::hashtable<std::pair<unsigned short const, ItemType*>, unsigned short, __gnu_cxx::hash<unsigned short>, std::_Select1st<std::pair<unsigned short const, ItemType*> >, std::equal_to<unsigned short>, std::allocator<ItemType*> >::hashtable(unsigned int, __gnu_cxx::hash<unsigned short> const&, std::equal_to<unsigned short> const&, std::allocator<ItemType*> const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      2.6    0.34    0.00                 bool PropStream::GET_STRUCT<OTBM_Tile_coords>(OTBM_Tile_coords*&) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]      2.6    0.33    0.00                 std::string::find(std::string const&, unsigned int) const [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      2.4    0.31    0.00                 __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned long>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::equal_to<unsigned long>, std::allocator<unsigned long> >::resize(unsigned int) [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      2.3    0.30    0.00                 Items::loadXMLInfos(std::string) [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      2.2    0.29    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::_Rb_tree_impl<std::less<unsigned long>, false>::~_Rb_tree_impl() [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     2.1    0.27    0.00                 Map::loadMap(std::string, std::string) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     1.6    0.21    0.00                 __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::~stdio_sync_filebuf() [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     1.6    0.20    0.00                 std::moneypunct<char, true>::do_grouping() const [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     1.6    0.20    0.00                 std::_Rb_tree<unsigned long, std::pair<unsigned long const, Player*>, std::_Select1st<std::pair<unsigned long const, Player*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Player*> > >::_Rb_tree_impl<std::less<unsigned long>, false>::_Rb_tree_impl(std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, Player*> > > const&, std::less<unsigned long> const&) [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     1.4    0.18    0.00                 std::vector<std::string, std::allocator<std::string> >::_M_insert_aux(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&) [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     1.3    0.17    0.00                 bool PropStream::GET_STRUCT<VERSIONINFO>(VERSIONINFO*&) [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.3    0.17    0.00                 std::string::find_first_not_of(char, unsigned int) const [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     1.2    0.16    0.00                 FileLoader::getChildNode(unsigned long, unsigned long&) [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     1.2    0.16    0.00                 __gnu_cxx::hashtable<std::pair<unsigned long const, unsigned long>, unsigned long, __gnu_cxx::hash<unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::equal_to<unsigned long>, std::allocator<unsigned long> >::find_or_insert(std::pair<unsigned long const, unsigned long> const&) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     1.2    0.15    0.00                 __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::seekoff(long long, std::_Ios_Seekdir, std::_Ios_Openmode) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.2    0.15    0.00                 std::string::at(unsigned int) const [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     1.2    0.15    0.00                 std::vector<std::pair<unsigned long long, long>, std::allocator<std::pair<unsigned long long, long> > >::end() const [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.1    0.14    0.00                 std::_Rb_tree_decrement(std::_Rb_tree_node_base*) [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     0.9    0.12    0.00                 PropStream::GET_STRING(std::string&) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.9    0.12    0.00                 std::string::find_first_of(char const*, unsigned int, unsigned int) const [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.9    0.12    0.00                 std::vector<std::pair<unsigned long long, long>, std::allocator<std::pair<unsigned long long, long> > >::size() const [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.8    0.10    0.00                 bool PropStream::GET_STRUCT<OTBM_Tile_area_coords>(OTBM_Tile_area_coords*&) [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.8    0.10    0.00                 std::string::find(char const*, unsigned int, unsigned int) const [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.8    0.10    0.00                 std::time_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get_time(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, tm*) const [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.7    0.09    0.00                 CreatureState::CreatureState() [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     0.7    0.09    0.00                 Map::removeCreature(Creature*) [30]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.7    0.09    0.00                 Item::CreateItem(unsigned short, unsigned short) [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.7    0.09    0.00                 std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >::str() const [32]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.7    0.09    0.00                 std::map<unsigned long, Monster*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, Monster*> > >::operator[](unsigned long const&) [33]
-----------------------------------------------
                                                 <spontaneous>
